Time	Smad3n	Smad3c	Smad4n	Smad4c	T1R_Surf	T2R_Cave	T2R_Surf	Smads_Complex_n	T1R_EE	T1R_Cave	TGF_beta	LRC_Cave	LRC_Surf	Smads_Complex_c	T2R_EE	LRC_EE	Kexp_Smad2n	Kdeg_T1R_EE	Klid	Total_Smad2c	Total_Smad2n	kr_EE	ki_EE	v_T2R	v_T1R	k_LRC	Kcd	kr_Cave	ki_Cave	Kexp_Smad4n	Kdiss_Smads_Complex_n	Kimp_Smad2c	Kimp_Smads_Complex_c	Kimp_Smad4c	Kdeg_T2R_EE	k_Smads_Complex_c
780	212.269	399.345	545.274	1050.22	0.000766887	1.13913	0.129248	175.328	0.00669488	0.00679923	0.08335	2.08316e-06	0.0275009	42.8823	0.735122	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
790	212.269	399.345	545.274	1050.22	0.000765413	1.13938	0.129269	175.328	0.00668164	0.00678577	0.0834969	2.08316e-06	0.027501	42.8823	0.735264	0.238823	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
800	212.269	399.345	545.274	1050.22	0.000763955	1.1396	0.129289	175.328	0.00666856	0.00677248	0.0836438	2.08316e-06	0.027501	42.8823	0.735394	0.238824	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
810	212.269	399.345	545.274	1050.22	0.000762512	1.13981	0.129307	175.328	0.00665564	0.00675935	0.0837909	2.08317e-06	0.0275011	42.8824	0.735513	0.238824	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
820	212.269	399.345	545.274	1050.22	0.000761083	1.13999	0.129323	175.328	0.00664285	0.00674636	0.0839379	2.08317e-06	0.0275012	42.8824	0.735623	0.238825	1	0.005	0.02609	442.228	387.597	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
830	212.269	399.345	545.274	1050.22	0.000759666	1.14017	0.129338	175.329	0.00663021	0.00673351	0.084085	2.08317e-06	0.0275013	42.8825	0.735723	0.238825	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
840	212.269	399.345	545.274	1050.22	0.000758262	1.14032	0.129351	175.329	0.00661769	0.00672079	0.0842321	2.08318e-06	0.0275013	42.8826	0.735814	0.238826	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
850	212.269	399.345	545.274	1050.22	0.000756869	1.14047	0.129364	175.329	0.00660529	0.0067082	0.0843792	2.08318e-06	0.0275014	42.8827	0.735898	0.238826	1	0.005	0.02609	442.227	387.598	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
860	212.269	399.344	545.274	1050.22	0.000755487	1.1406	0.129375	175.329	0.006593	0.00669571	0.0845264	2.08318e-06	0.0275015	42.8827	0.735974	0.238827	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
870	212.269	399.344	545.274	1050.22	0.000754116	1.14072	0.129386	175.33	0.00658082	0.00668334	0.0846736	2.08318e-06	0.0275016	42.8828	0.736044	0.238828	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
880	212.269	399.344	545.274	1050.22	0.000752754	1.14083	0.129395	175.33	0.00656874	0.00667106	0.0848208	2.08319e-06	0.0275017	42.8829	0.736109	0.238829	1	0.005	0.02609	442.227	387.599	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
890	212.269	399.344	545.274	1050.22	0.000751402	1.14093	0.129404	175.331	0.00655675	0.00665889	0.0849681	2.08319e-06	0.0275018	42.8831	0.736167	0.238829	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
900	212.269	399.344	545.274	1050.22	0.000750059	1.14102	0.129412	175.331	0.00654486	0.0066468	0.0851153	2.08319e-06	0.0275019	42.8832	0.736221	0.23883	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
910	212.269	399.343	545.274	1050.22	0.000748724	1.14111	0.129419	175.332	0.00653305	0.0066348	0.0852626	2.08319e-06	0.027502	42.8833	0.73627	0.238831	1	0.005	0.02609	442.227	387.6	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
920	212.269	399.343	545.274	1050.22	0.000747397	1.14119	0.129426	175.332	0.00652132	0.00662289	0.0854099	2.0832e-06	0.0275021	42.8834	0.736314	0.238832	1	0.005	0.02609	442.226	387.601	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
930	212.269	399.343	545.274	1050.22	0.000746079	1.14126	0.129432	175.333	0.00650967	0.00661105	0.0855572	2.0832e-06	0.0275022	42.8835	0.736355	0.238833	1	0.005	0.02609	442.226	387.601	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
940	212.269	399.343	545.274	1050.22	0.000744767	1.14132	0.129437	175.333	0.00649809	0.00659929	0.0857045	2.0832e-06	0.0275023	42.8836	0.736393	0.238834	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
950	212.268	399.342	545.274	1050.22	0.000743463	1.14138	0.129442	175.334	0.00648658	0.0065876	0.0858518	2.0832e-06	0.0275025	42.8838	0.736427	0.238835	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
960	212.268	399.342	545.274	1050.22	0.000742166	1.14143	0.129447	175.334	0.00647514	0.00657599	0.0859992	2.08321e-06	0.0275026	42.8839	0.736458	0.238836	1	0.005	0.02609	442.226	387.602	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
970	212.268	399.342	545.274	1050.22	0.000740876	1.14148	0.129451	175.335	0.00646377	0.00656443	0.0861465	2.08321e-06	0.0275027	42.884	0.736486	0.238837	1	0.005	0.02609	442.226	387.603	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
980	212.268	399.341	545.274	1050.22	0.000739592	1.14153	0.129455	175.335	0.00645246	0.00655294	0.0862939	2.08321e-06	0.0275028	42.8841	0.736512	0.238838	1	0.005	0.02609	442.226	387.603	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
990	212.268	399.341	545.274	1050.22	0.000738314	1.14157	0.129458	175.336	0.00644121	0.00654151	0.0864413	2.08321e-06	0.0275029	42.8843	0.736535	0.238838	1	0.005	0.02609	442.225	387.604	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
1000	212.268	399.341	545.274	1050.22	0.000737043	1.1416	0.129462	175.336	0.00643001	0.00653015	0.0865886	2.08322e-06	0.027503	42.8844	0.736557	0.238839	1	0.005	0.02609	442.225	387.604	0.033	0.33	0.02869	0.0103	2197	0.005	0.03742	0.33	0.5	0.1174	0.16	0.16	0.08	0.025	6.85e-05
